formula,electron_mobility,hole_mobility,bandgap,effective_mass_e,effective_mass_h,source,quality_flag,validation_status
AlN,150,140,4.88,0.32,0.35,DPT_estimate,theoretical,unverified
AlP,180,120,2.45,0.28,0.38,DPT_estimate,theoretical,unverified
AlAs,170,110,2.06,0.32,0.4,DPT_estimate,theoretical,unverified
GaN,250,130,3.44,0.2,0.35,DPT_estimate,theoretical,unverified
GaP,280,100,2.26,0.22,0.4,DPT_estimate,theoretical,unverified
GaAs,240,90,1.52,0.27,0.45,DPT_estimate,theoretical,unverified
InN,500,50,0.7,0.04,0.7,DPT_estimate,theoretical,unverified
InP,350,70,1.35,0.1,0.6,DPT_estimate,theoretical,unverified
InAs,300,60,0.36,0.14,0.65,DPT_estimate,theoretical,unverified
BN,100,100,5.97,0.28,0.28,C2DB,DFT_calculated,verified_structure
SiC,120,100,2.39,0.42,0.45,DPT_estimate,theoretical,DPT_validated
GeC,100,90,1.98,0.52,0.5,DPT_estimate,theoretical,unverified
SiGe,85,80,0.52,0.48,0.56,DPT_estimate,theoretical,unverified
MoS2,100,50,1.66,0.5,0.56,C2DB,DFT_calculated,verified
WS2,246,82,1.97,0.28,0.39,C2DB,DFT_calculated,verified
MoSe2,52,29,1.55,0.58,0.65,C2DB,DFT_calculated,verified
WSe2,161,108,1.63,0.35,0.49,C2DB,DFT_calculated,verified
MoTe2,44,15,1.1,0.68,1.0,DPT_estimate,theoretical,unverified
WTe2,47,23,0.9,0.66,0.85,DPT_estimate,theoretical,unverified
SnS2,23,15,2.18,0.95,1.1,DPT_estimate,theoretical,unverified
SnSe2,34,14,1.74,0.72,1.35,DPT_estimate,theoretical,unverified
GeS,75,31,1.5,0.42,0.72,DPT_estimate,theoretical,unverified
GeSe,55,33,1.32,0.58,0.77,DPT_estimate,theoretical,unverified
SnS,300,220,1.3,0.28,0.38,DPT_estimate,theoretical,unverified
SnSe,220,180,1.12,0.35,0.45,DPT_estimate,theoretical,unverified
