formula,electron_mobility,hole_mobility,bandgap,effective_mass_e,effective_mass_h,source,quality_flag
MoS2,100,50,1.66,0.5,0.56,eTran2D,DFT_calculated
MoSe2,52,29,1.55,0.58,0.65,eTran2D,DFT_calculated
WS2,246,82,1.97,0.28,0.39,eTran2D,DFT_calculated
WSe2,161,108,1.63,0.35,0.49,eTran2D,DFT_calculated
MoTe2,44,15,1.1,0.68,1.0,eTran2D,DFT_calculated
WTe2,47,23,0.9,0.66,0.85,eTran2D,DFT_calculated
SnS2,23,15,2.18,0.95,1.1,eTran2D,DFT_calculated
SnSe2,34,14,1.74,0.72,1.35,eTran2D,DFT_calculated
GeS,75,31,1.5,0.42,0.72,eTran2D,DFT_calculated
GeSe,55,33,1.32,0.58,0.77,eTran2D,DFT_calculated
BP,1000,600,2.03,0.15,0.26,eTran2D,DFT_calculated
BiP,304,827,2.0,0.25,0.23,eTran2D,DFT_calculated
h-BN,100,100,5.97,0.28,0.28,eTran2D,DFT_calculated
MoP,310,190,1.69,0.35,0.4,eTran2D,DFT_calculated
WP,312,218,2.0,0.31,0.35,eTran2D,DFT_calculated
MoAs,200,140,1.48,0.45,0.55,eTran2D,DFT_calculated
WAs,250,180,1.7,0.38,0.42,eTran2D,DFT_calculated
SnS,300,220,1.3,0.28,0.38,eTran2D,DFT_calculated
SnSe,220,180,1.12,0.35,0.45,eTran2D,DFT_calculated
